Name,Lat,Lon
Ashby's,40.7082523,-74.0109974
Wendy's,40.7100584,-74.0080436
McDonald's,40.7094789,-74.0100364
P.J. Clarke's On The Hudson,40.71371120000001,-74.0162387
Squire's Diner,40.7088676,-74.0039463
Cowgirl SeaHorse,40.7082332,-74.0005406
Subway,40.7068366,-74.0115901
Chipotle Mexican Grill,40.7067254,-74.0069351
Jiannetto's Pizza Truck,40.7048454,-74.0071612
George's,40.7078386,-74.0134814
The Paris Cafe,40.7073039,-74.0015776
Pret A Manger,40.7052115,-74.0118713
DIG,40.70609079999999,-74.0072932
Starbucks,40.70612819999999,-74.0056597
Pearl Diner,40.7069432,-74.0062813
Subway,40.70512009999999,-74.0140463
The Full Shilling,40.7058199,-74.0075783
MarkJoseph Steakhouse,40.70837,-74.00152
TaraPaige Group,40.70979090000001,-74.0096996
Felice 15 Gold,40.7078509,-74.007046
Central Market New York,40.7010853,-74.0131012
Clinton Hall,40.7081779,-74.0145959
Reserve Cut,40.70607930000001,-74.0118404
Dunkin',40.7079962,-74.0139006
Bombay's,40.70341899999999,-74.011077
Ryan Maguire's Bar & Restaurant,40.70801369999999,-74.0050629
Starbucks,40.708413,-74.007387
Subway,40.70939790000001,-74.0090286
The Irish American Pub,40.70986449999999,-74.0087486
Gansevoort Liberty Market,40.7100647,-74.0119758
Bill's Bar & Burger,40.709363,-74.0141805
Bravo,40.706616,-74.013482
Bean & Bean Wall St,40.7073176,-74.0124258
Route 66 Smokehouse,40.7041771,-74.0104846
Just Salad,40.7068349,-74.0070727
Luke's Lobster FiDi,40.70467379999999,-74.0107523
Chipotle Mexican Grill,40.7150429,-74.01103
Killarney Rose,40.7051028,-74.0086504
Burger King,40.7048694,-74.0125362
Pronto Pizza,40.709803,-74.0121323
Body By Brooklyn,40.6961073,-73.9681653
Pies 'n' Thighs,40.71117840000001,-73.9613777
Buffalo Wild Wings,40.684588,-73.9775846
Diner,40.7107326,-73.9656117
Traif,40.71057229999999,-73.958997
Vinegar Hill House,40.7027648,-73.9812524
Energy Fuel,40.6930536,-73.9704954
Marlow & Sons,40.710686,-73.965671
Olea,40.6878197,-73.9706231
Chuck E. Cheese,40.68447999999999,-73.9773318
Giando on the Water,40.7107359,-73.969274
IHOP,40.6890983,-73.9837036
Damas Falafel House,40.6932799,-73.9695563
Rustik Tavern,40.6907519,-73.9582747
Superfine,40.7023726,-73.9875072
Maison Premiere,40.7142687,-73.9616646
Roman's,40.689633,-73.9695398
Subway,40.6847302,-73.9767291
Miss Favela,40.7122904,-73.9662206
Locanda Vini & Olii,40.684965,-73.9629488
Woodland,40.6882125,-73.9795485
Soco,40.69373969999999,-73.964499
Java,40.6891747,-73.982957
Speedy Romeo,40.6875,-73.96
Dallas BBQ,40.68999300000001,-73.987089
Sophie's Cuban Cuisine - Brooklyn Heights,40.6906602,-73.9875285
DSK Brooklyn,40.6857666,-73.9735352
Gourmet Garden 8,40.6896072,-73.9783578
Chuko,40.6807775,-73.9674535
Mile End Delicatessen,40.6874457,-73.9870445
Putnam's Pub & Cooker,40.6932402,-73.9691301
Chipotle Mexican Grill,40.69434930000001,-73.9918306
Patrizia's of Williamsburg,40.71089509999999,-73.9673745
Habana Outpost,40.68640999999999,-73.974189
Sumo Teriyaki & Sushi,40.7119666,-73.9571421
DuMont Burger,40.7136831,-73.9621056
Graziella's of Brooklyn Wood Burning Pizza,40.6904686,-73.9695758
La Superior,40.71356899999999,-73.9636203
Mac Shack NY,40.68371580000001,-73.9673078
Shake Shack Downtown Brooklyn,40.6921824,-73.9887222
Deniz,40.6866628,-73.9756456
Subway,40.6930292,-73.9700056
Bacchus,40.6869451,-73.9842903
Henry Street Ale House,40.699094,-73.9924662
Clementine Bakery,40.6875733,-73.9595627
Bozu,40.7128641,-73.957519
Il Porto Ristorante & Wood Fired Pizza,40.6974156,-73.9674518
Tabare Williamsburg,40.7130647,-73.9590199
Kum Kau,40.6935271,-73.966738
YAYOS LATIN CUISINE,40.6819444,-73.9769444
Black Iris,40.6873087,-73.9724778
Starbucks,40.694047,-73.986783
Motorino Pizza,40.7104854,-73.9635124
Panera Bread,40.6926023,-73.9884768
Dunkin',40.6900216,-73.9516692
Peaches Grand,40.6880439,-73.9626063
Caf?? Paulette,40.68960409999999,-73.9758985
Alchemy,40.6813302,-73.9772776
Aurora Brooklyn,40.7156519,-73.9647449
Aita,40.68649109999999,-73.9666422
Arepera Guacuco,40.7046089,-73.9245904
Sicily's Best,40.7051936,-73.9151477
D' Montazo Restaurant,40.7011561,-73.9145157
Guadalajara De Dia 2,40.7045673,-73.9108599
Blanca,40.705065,-73.9335919
El Burro Mexican Grill,40.7033491,-73.9222273
J.K. & Sons,40.699847,-73.940017
K&K Buffet & Cajun Seafood,40.700967,-73.9092471
Subway,40.7035331,-73.9183278
Tortilleria Mexicana Los Hermanos,40.7065667,-73.9218472
SKYTOWN,40.6976406,-73.9361005
Mominette Bistro,40.7033022,-73.9257695
Papa Johns Pizza,40.6959311,-73.9331343
Tasty's,40.70037929999999,-73.9013748
Tomo Japanese Fusion,40.70474189999999,-73.9293081
Eim Dee Thai,40.7065642,-73.9394974
Super Pollo,40.702886,-73.9018569
Subway,40.6837254,-73.9116396
City Fresh Market - Bushwick,40.7029747,-73.9255093
Tony's Pizza,40.6992231,-73.9188171
Falansai,40.7067681,-73.92876
Domino's Pizza,40.7022589,-73.904019
McDonald's,40.69941699999999,-73.919655
Taqueria El Fogon,40.7044401,-73.9291278
Bunna Cafe,40.70491669999999,-73.9279056
Milly's Pizzeria,40.6990505,-73.9393158
Gottscheer Hall,40.706827,-73.9054957
Momo Sushi Shack,40.70516369999999,-73.9334077
Heavy Woods,40.705606,-73.921648
Bed-Stuy Fish Fry,40.685285,-73.920704
IHOP,40.7010024,-73.9412405
White Castle,40.6995443,-73.9128706
Burger King,40.6986619,-73.9186131
Dunkin',40.696816,-73.9353369
Green Streets,40.7045823,-73.9238347
Little Caesars Pizza,40.692681,-73.928194
Chez Oskar,40.68224909999999,-73.9290779
Taco Bell,40.70060849999999,-73.9030109
Crown Fried Chicken,40.6851048,-73.9292865
Royal Rib NYC,40.68440009999999,-73.9296674
The Anchored Inn,40.7091381,-73.9373101
Crown Fried Chicken,40.686651,-73.923193
KFC,40.6993763,-73.9114029
El Monta??ero,40.700073,-73.9076768
Sze's Garden,40.708267,-73.9197122
El Sabor Del Austro,40.7043335,-73.9104782
Mally's,40.7036808,-73.9264526
Dunkin',40.6999327,-73.9114103
Dunkin',40.6960151,-73.9055247
El Dorado,40.69992609999999,-73.9091114
Empire Taco,40.6901422,-73.9067218
El Salvador,40.69937369999999,-73.9118465
El Regalo de Juquila,40.69755809999999,-73.9317341
Subway,40.69876499999999,-73.9174735
Party On,40.6999024,-73.9162108
Lucy's Vietnamese - Bushwick,40.6996966,-73.9159419
Merv?€?s Bar,40.6996401,-73.9158253
Crown Fried Chicken,40.6952084,-73.9204841
Taqueria Acatlan,40.69902489999999,-73.9146491
Rico Chimi,40.6991453,-73.9142989
The Shops at Atlas Park,40.70866969999999,-73.8693666
Chili's Grill & Bar,40.709203,-73.869669
Zum Stammtisch,40.7017815,-73.8811062
Starbucks,40.7082088,-73.869089
Subway,40.70767490000001,-73.8686683
The Avenue Restaurant & Bar,40.70196740000001,-73.8792549
Pizza Classica,40.7067981,-73.8556417
Taste of China,40.70196199999999,-73.8831641
Boston Market,40.6850985,-73.8578303
Panera Bread,40.71000999999999,-73.859231
Glendale Diner,40.701865,-73.879649
Yerman's Irish Pub,40.7100282,-73.8647404
Five Guys,40.709878,-73.8592143
McDonald's,40.711249,-73.854415
Leone's Pizzeria,40.71062060000001,-73.865172
Neir's Tavern,40.6898112,-73.8635147
La Comadre,40.69132369999999,-73.8660351
California Pizza Kitchen at Atlas Park,40.7081234,-73.869207
Bonao Chimi,40.6914788,-73.8650104
Trattoria Bambino's Pizza,40.7031463,-73.8681113
Little Caesars Pizza,40.691192,-73.866948
Mr. Wonton,40.6919658,-73.8639107
Hong Kong Gourmet,40.6923906,-73.8593496
Mistura Peruana,40.6924938,-73.8579146
Don Nico at Atlas Park,40.7085729,-73.8679722
